What makes a pair of shoes?|two shoes
What is the time-piece That needs no winding?|rooster
What hired killer never goes to jail?|exterminator
What falls down but never breaks?|nightfall
What is the worst vegetable to have on a ship?|leek
What goes up when the rain comes down?|umbrella
What do you call two witches who live together?|broommates
I am round or oval? I can be light or dark. You can cut me in pieces.|potato
I run around the city but never move.|city wall
I only have two backbones and thousands of ribs.|railroad
